time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-11-21 00:00:00+00:00,77,4,59,15
2024-11-22 00:00:00+00:00,228,5,66,14
2024-11-23 00:00:00+00:00,3,2,15,6
2024-11-24 00:00:00+00:00,4,4,25,9
2024-11-25 00:00:00+00:00,7,4,65,17
2024-11-26 00:00:00+00:00,229,11,53,19
2024-11-27 00:00:00+00:00,440,5,90,27
2024-11-28 00:00:00+00:00,39,3,73,11
2024-11-29 00:00:00+00:00,816,10,100,16
2024-11-30 00:00:00+00:00,15,3,12,5
2024-12-01 00:00:00+00:00,3,3,10,8
2024-12-02 00:00:00+00:00,575,9,71,14
2024-12-03 00:00:00+00:00,43,5,41,14
2024-12-04 00:00:00+00:00,292,6,24,14
