time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-12-31 00:00:00+00:00,1003,6,47,9
2025-01-01 00:00:00+00:00,4,3,5,2
2025-01-02 00:00:00+00:00,619,5,41,17
2025-01-03 00:00:00+00:00,1511,9,34,7
2025-01-04 00:00:00+00:00,2,2,30,8
2025-01-05 00:00:00+00:00,2,2,20,4
2025-01-06 00:00:00+00:00,1001,8,44,18
2025-01-07 00:00:00+00:00,1732,14,79,13
2025-01-08 00:00:00+00:00,732,11,77,23
2025-01-09 00:00:00+00:00,3,3,69,18
2025-01-10 00:00:00+00:00,5,5,62,15
2025-01-11 00:00:00+00:00,5,4,18,8
2025-01-12 00:00:00+00:00,3,2,11,7
2025-01-13 00:00:00+00:00,226,5,94,36
