time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-09-01 00:00:00+00:00,1.0,1.0,36,9
2024-09-02 00:00:00+00:00,424.0,5.0,170,7
2024-09-03 00:00:00+00:00,333.0,3.0,89,19
2024-09-04 00:00:00+00:00,391.0,3.0,136,19
2024-09-05 00:00:00+00:00,697.0,5.0,125,20
2024-09-06 00:00:00+00:00,366.0,5.0,202,14
2024-09-07 00:00:00+00:00,,,43,13
2024-09-08 00:00:00+00:00,5.0,3.0,44,17
2024-09-09 00:00:00+00:00,243.0,6.0,119,21
2024-09-10 00:00:00+00:00,191.0,6.0,114,18
2024-09-11 00:00:00+00:00,7.0,4.0,102,20
2024-09-12 00:00:00+00:00,44.0,2.0,163,19
2024-09-13 00:00:00+00:00,728.0,5.0,75,10
2024-09-14 00:00:00+00:00,1.0,1.0,5,5
