time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-25 00:00:00+00:00,1161,89,20,14
2026-06-26 00:00:00+00:00,512,39,7,7
2026-06-27 00:00:00+00:00,168,36,9,7
2026-06-28 00:00:00+00:00,235,50,12,10
2026-06-29 00:00:00+00:00,1329,67,25,12
2026-06-30 00:00:00+00:00,1768,44,53,13
2026-07-01 00:00:00+00:00,1148,35,40,20
2026-07-02 00:00:00+00:00,86,48,23,15
2026-07-03 00:00:00+00:00,1371,72,20,13
2026-07-04 00:00:00+00:00,428,87,16,14
2026-07-05 00:00:00+00:00,169,87,47,22
2026-07-06 00:00:00+00:00,286,50,34,28
2026-07-07 00:00:00+00:00,2450,77,30,30
2026-07-08 00:00:00+00:00,958,42,42,25
