time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-06-04 00:00:00+00:00,251,12,155,20
2025-06-05 00:00:00+00:00,244,10,73,17
2025-06-06 00:00:00+00:00,248,10,39,9
2025-06-07 00:00:00+00:00,107,11,18,6
2025-06-08 00:00:00+00:00,50,10,21,7
2025-06-09 00:00:00+00:00,158,11,101,18
2025-06-10 00:00:00+00:00,2224,20,202,22
2025-06-11 00:00:00+00:00,145,12,120,22
2025-06-12 00:00:00+00:00,876,19,35,8
2025-06-13 00:00:00+00:00,1446,21,43,26
2025-06-14 00:00:00+00:00,1583,33,72,5
2025-06-15 00:00:00+00:00,127,8,9,6
2025-06-16 00:00:00+00:00,3665,39,98,15
2025-06-17 00:00:00+00:00,1299,16,54,17
