time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-05-23 00:00:00+00:00,63,38,19,8
2026-05-24 00:00:00+00:00,48,25,6,4
2026-05-25 00:00:00+00:00,143,51,25,7
2026-05-26 00:00:00+00:00,93,37,41,25
2026-05-27 00:00:00+00:00,93,43,17,11
2026-05-28 00:00:00+00:00,249,82,17,11
2026-05-29 00:00:00+00:00,171,34,31,14
2026-05-30 00:00:00+00:00,319,85,16,8
2026-05-31 00:00:00+00:00,68,32,6,4
2026-06-01 00:00:00+00:00,188,34,24,15
2026-06-02 00:00:00+00:00,307,88,16,10
2026-06-03 00:00:00+00:00,63,32,19,7
2026-06-04 00:00:00+00:00,317,68,3,3
2026-06-05 00:00:00+00:00,49,20,18,6
