time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-09-22 00:00:00+00:00,489,37,50,21
2025-09-23 00:00:00+00:00,333,31,28,11
2025-09-24 00:00:00+00:00,1277,35,88,36
2025-09-25 00:00:00+00:00,48,23,55,19
2025-09-26 00:00:00+00:00,1239,28,55,22
2025-09-27 00:00:00+00:00,353,20,9,5
2025-09-28 00:00:00+00:00,28,17,12,8
2025-09-29 00:00:00+00:00,215,28,55,21
2025-09-30 00:00:00+00:00,482,30,55,18
2025-10-01 00:00:00+00:00,607,27,38,18
2025-10-02 00:00:00+00:00,16,12,29,14
2025-10-03 00:00:00+00:00,804,25,142,26
2025-10-04 00:00:00+00:00,469,21,11,10
2025-10-05 00:00:00+00:00,9,6,24,8
