time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-11-05 00:00:00+00:00,36,1,70,14
2024-11-06 00:00:00+00:00,298,3,129,14
2024-11-07 00:00:00+00:00,41,4,69,18
2024-11-08 00:00:00+00:00,651,5,63,23
2024-11-09 00:00:00+00:00,3,3,9,8
2024-11-10 00:00:00+00:00,1,1,42,14
2024-11-11 00:00:00+00:00,437,4,57,23
2024-11-12 00:00:00+00:00,574,6,20,9
2024-11-13 00:00:00+00:00,828,8,53,14
2024-11-14 00:00:00+00:00,424,2,90,17
2024-11-15 00:00:00+00:00,376,6,24,10
2024-11-16 00:00:00+00:00,110,2,3,3
2024-11-17 00:00:00+00:00,3,1,16,5
2024-11-18 00:00:00+00:00,78,4,43,20
