time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-08-25 00:00:00+00:00,,,71,6
2024-08-26 00:00:00+00:00,61.0,2.0,144,23
2024-08-27 00:00:00+00:00,51.0,4.0,69,11
2024-08-28 00:00:00+00:00,180.0,4.0,117,16
2024-08-29 00:00:00+00:00,622.0,8.0,33,13
2024-08-30 00:00:00+00:00,435.0,7.0,175,17
2024-08-31 00:00:00+00:00,2.0,2.0,8,7
2024-09-01 00:00:00+00:00,1.0,1.0,36,9
2024-09-02 00:00:00+00:00,424.0,5.0,170,7
2024-09-03 00:00:00+00:00,333.0,3.0,89,19
2024-09-04 00:00:00+00:00,391.0,3.0,136,19
2024-09-05 00:00:00+00:00,697.0,5.0,125,20
2024-09-06 00:00:00+00:00,366.0,5.0,202,14
2024-09-07 00:00:00+00:00,,,43,13
