time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-10-01 00:00:00+00:00,607,27,38,18
2025-10-02 00:00:00+00:00,16,12,29,14
2025-10-03 00:00:00+00:00,804,25,142,26
2025-10-04 00:00:00+00:00,469,21,11,10
2025-10-05 00:00:00+00:00,15,12,24,8
2025-10-06 00:00:00+00:00,594,14,97,24
2025-10-07 00:00:00+00:00,652,28,63,23
2025-10-08 00:00:00+00:00,802,21,45,15
2025-10-09 00:00:00+00:00,1248,53,55,16
2025-10-10 00:00:00+00:00,392,42,32,16
2025-10-11 00:00:00+00:00,418,45,16,7
2025-10-12 00:00:00+00:00,115,24,26,13
2025-10-13 00:00:00+00:00,539,29,35,21
2025-10-14 00:00:00+00:00,52,21,25,16
